Age	Lenght
8	554
13	750
9	712
3.5	676
2.5	440
13	482
9	391
19	830
20	880
8	490
10.5	795
16	667
2.5	433
6.5	487
5	425
4.5	456
6	420
4	775
11	725
17	761
11.5	721
10.5	567
3.5	505
5	602
6	565
6	527
12	700
21.5	909
2	448
6	442
2	528
7.5	532
7	627
9.5	637
5	504
2	454
15	774
7.5	810
8	615
10	935
8.5	956
13	622
10	523
4	476
10.5	918
16	925
5.5	578
7	621
14	851
14	684
21.5	910
12.5	776
4.5	545
8	621
2	484
12	898
13	818
4	482
